id,source,source_table,topic,category,difficulty,frequency,direction,term,question,answer
fsp-stuttgart-001,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Abdomen,Was bedeutet der medizinische Fachbegriff „Abdomen“ in Umgangssprache?,Bauch
fsp-stuttgart-002,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Abduktion,Was bedeutet der medizinische Fachbegriff „Abduktion“ in Umgangssprache?,Wegspreizen einer Extremität nach außen
fsp-stuttgart-003,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Ablatio mammae,Was bedeutet der medizinische Fachbegriff „Ablatio mammae“ in Umgangssprache?,Brustamputation
fsp-stuttgart-004,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Abort,Was bedeutet der medizinische Fachbegriff „Abort“ in Umgangssprache?,Fehlgeburt
fsp-stuttgart-005,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Abszess,Was bedeutet der medizinische Fachbegriff „Abszess“ in Umgangssprache?,Eiteransammlung in einem nicht vorbestehenden Hohlraum
fsp-stuttgart-006,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,medium,3,Fachbegriff → Umgangssprache,Abusus,Was bedeutet der medizinische Fachbegriff „Abusus“ in Umgangssprache?,"Missbrauch (Alkohol, Drogen, Medikamente, Tabak)"
fsp-stuttgart-007,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Adaptation,Was bedeutet der medizinische Fachbegriff „Adaptation“ in Umgangssprache?,Anpassung
fsp-stuttgart-008,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,2,Fachbegriff → Umgangssprache,Adenotomie,Was bedeutet der medizinische Fachbegriff „Adenotomie“ in Umgangssprache?,operative Entfernung der Rachenmandel
fsp-stuttgart-009,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,adipös,Was bedeutet der medizinische Fachbegriff „adipös“ in Umgangssprache?,fettleibig
fsp-stuttgart-010,FSP Stuttgart.docx,1,Medizinische Fachbegriffe FSP Stuttgart,Medizinische Fachbegriffe FSP Stuttgart,basic,1,Fachbegriff → Umgangssprache,Adoleszenz,Was bedeutet der medizinische Fachbegriff „Adoleszenz“ in Umgangssprache?,Jugendalter
